,Property type,city,District,Interface,Space,priceMeter,totalprice
0,أرض, الرياض , حي الياسمين ,شرقية,496,5500,2728000
1,أرض, الرياض , حي المصيف ,شرقية,329,4600,1513400
2,أرض, ابها , حي القرى ,ثلاث شوارع,6503,5000,32515000
3,أرض, الرياض , حي النرجس ,شمالية شرقية,900,4444,4000000
4,أرض, الرياض , حي النرجس ,جنوبية,875,6000,5250000
5,أرض, الرياض , حي النرجس ,شمالية,225,5000,1125000
6,أرض, الرياض , حي العليا ,شمالية غربية,728,4500,3276000
7,أرض, الرياض , حي العارض ,شمالية,300,3666,1100000
8,أرض, الرياض , حي الخير ,شرقية,375,3666,550000
9,أرض, الرياض , حي الخير ,شرقية,375,1550,581250
10,أرض,الرياض,حريملاء,جنوبية,367,1404,515268
11,أرض, الرياض , حي المحمدية ,أربع شوارع,367,1404,28000000
12,أرض, الرياض , حي المحمدية ,أربع شوارع,3500,1404,28000000
13,أرض, الرياض , حي المحمدية ,أربع شوارع,3500,8000,28000000
14,أرض,الرياض,حريملاء,غربية,3500,8000,530000
15,أرض,الرياض,حريملاء,غربية,375,8000,530000
16,أرض, حريملاء, ملهم ,جنوبية غربية,900,4444,1000000
17,أرض, حريملاء, ملهم ,جنوبية غربية,625,4444,1000000
18,أرض, الرياض , حي الياسمين ,شرقية,329,4600,2728000
19,أرض, الرياض , حي الياسمين ,شرقية,496,4600,2728000
20,أرض,الرياض,حريملاء,غربية,496,5500,450000
21,أرض,الرياض,حريملاء,غربية,375,5500,450000
22,أرض,الرياض,حريملاء,غربية,375,1200,450000
23,أرض,الرياض,حريملاء,جنوبية,375,1200,650000
24,أرض,الرياض,حريملاء,جنوبية,437,1200,650000
25,أرض,الرياض,حريملاء,جنوبية,437,1487,650000
26,أرض, الرياض , حي النرجس ,جنوبية,437,1487,5250000
27,أرض, الرياض , حي النرجس ,جنوبية,875,1487,5250000
28,أرض, الرياض , حي النرجس ,شمالية,875,6000,1125000
29,أرض, الرياض , حي النرجس ,شمالية,225,6000,1125000
30,أرض,الرياض,حريملاء,جنوبية شرقية,225,5000,600000
31,أرض,الرياض,حريملاء,جنوبية شرقية,375,5000,600000
32,أرض,الرياض,حريملاء,جنوبية شرقية,375,1600,600000
33,أرض, الرياض , حي العارض ,شمالية,375,1600,1100000
34,أرض, الرياض , حي العارض ,شمالية,300,1600,1100000
35,أرض, الرياض , حي العليا ,شمالية غربية,300,3666,3276000
36,أرض, الرياض , حي العليا ,شمالية غربية,728,3666,3276000
37,أرض, الرياض , حي الخير ,شرقية,728,4500,550000
38,أرض, الرياض , حي الخير ,شرقية,375,4500,550000
39,أرض, الرياض , حي الخير ,شرقية,375,4500,581250
40,أرض, الرياض , حي العارض ,غربية,375,1550,2160000
41,أرض, الرياض , حي العارض ,غربية,450,1550,2160000
42,أرض, الرياض , حي العارض ,غربية,450,4800,2160000
43,أرض, الرياض , حي النرجس ,شمالية,450,4800,1710000
44,أرض, الرياض , حي النرجس ,شمالية,300,4800,1710000
45,أرض, الرياض , حي النرجس ,شمالية,300,5700,1710000
46,أرض, الرياض , حي العارض ,غربية,425,4000,1700000
47,أرض, الرياض , حي العارض ,شرقية,425,4000,3600000
48,أرض, الرياض , حي العارض ,شرقية,900,4000,3600000
49,أرض,الرياض,حريملاء,شمالية,900,4000,867100
50,أرض,الرياض,حريملاء,شمالية,667,4000,867100
51,أرض,الرياض,حريملاء,شمالية,667,1300,867100
52,أرض,الرياض,حريملاء,شمالية شرقية,667,1300,1000500
53,أرض, الرياض , حي الصحافة ,جنوبية,667,1300,3312500
54,أرض, الرياض , حي الصحافة ,جنوبية,525,1300,3312500
55,أرض, الرياض , حي العارض ,جنوبية,525,1300,3430000
56,أرض, الرياض , حي العارض ,جنوبية,686,1300,3430000
57,أرض, الرياض , حي العارض ,جنوبية,686,5000,3430000
58,أرض,الرياض,حريملاء,شمالية,686,5000,565000
59,أرض,الرياض,حريملاء,شمالية,379,5000,565000
60,أرض,الرياض,حريملاء,شمالية,379,1490,565000
61,أرض, الرياض , حي الخير ,شرقية,379,1490,588750
62,أرض, الرياض , حي الخير ,شرقية,375,1490,588750
63,أرض, الرياض , حي الخير ,شرقية,375,1570,588750
64,أرض,الرياض,حريملاء,شرقية,375,1570,682500
65,أرض,الرياض,حريملاء,شرقية,375,1750,682500
66,أرض, الرياض , حي الرحمانية ,أربع شوارع,375,1750,11700000
67,أرض, الرياض , حي الرحمانية ,أربع شوارع,1778,1750,11700000
68,أرض, الرياض , حي الرحمانية ,أربع شوارع,1778,6580,11700000
69,أرض, الرياض , حي الغدير ,جنوبية غربية,1778,6580,10163900
70,أرض, الرياض , حي الغدير ,جنوبية غربية,1517,6580,10163900
71,أرض, الرياض , حي الغدير ,جنوبية غربية,1517,6700,10163900
72,أرض, الرياض , حي الملقا ,شمالية,1517,6700,3570000
73,أرض, الرياض , حي الملقا ,شمالية,420,6700,3570000
74,أرض, الرياض , حي الملقا ,شمالية,420,8500,3570000
75,أرض,الرياض,حريملاء,شمالية,420,8500,1935000
76,أرض,الرياض,حريملاء,شمالية,800,8500,1935000
77,أرض,الرياض,حريملاء,شمالية,800,4300,1935000
78,أرض, الرياض , حي النرجس ,شرقية,800,4300,2002500
79,أرض, الرياض , حي النرجس ,شرقية,450,4300,2002500
80,أرض, الرياض , حي النرجس ,شرقية,450,4450,2002500
81,أرض, الرياض , حي النرجس ,شرقية,450,4450,2062500
82,أرض, الرياض , حي النرجس ,شرقية,450,5500,2062500
83,أرض, الرياض , حي الرحمانية ,جنوبية شرقية,450,5500,6125000
84,أرض, الرياض , حي الرحمانية ,جنوبية شرقية,875,5500,6125000
85,أرض, الرياض , حي الرحمانية ,جنوبية شرقية,875,7000,6125000
86,أرض,الرياض,حريملاء,شرقية,875,7000,1526400
87,أرض,الرياض,حريملاء,شرقية,318,7000,1526400
88,أرض,الرياض,حريملاء,شرقية,318,4800,1526400
89,أرض, الرياض , حي الخير ,غربية,318,4800,924000
90,أرض, الرياض , حي الخير ,غربية,560,4800,924000
91,أرض, الرياض , حي الخير ,غربية,560,1650,924000
92,أرض, الرياض , حي الخير ,غربية,560,1650,750000
93,أرض, الرياض , حي الخير ,غربية,744,1650,750000
94,أرض, الرياض , حي النرجس ,شمالية غربية,744,1650,1003200
95,أرض, الرياض , حي النرجس ,شمالية غربية,209,1650,1003200
96,أرض, الرياض , حي النرجس ,شمالية غربية,209,4800,1003200
97,أرض,الرياض,حريملاء,شمالية,209,4800,540000
98,أرض,الرياض,حريملاء,شمالية,375,4800,540000
99,أرض,الرياض,حريملاء,شمالية,375,1440,540000
100,أرض,الرياض,حريملاء,شرقية,375,1440,521250
101,أرض,الرياض,حريملاء,شرقية,375,1390,521250
102,أرض,الرياض,حريملاء,شمالية غربية,375,1390,4647500
103,أرض,الرياض,حريملاء,شمالية غربية,689,1390,4647500
104,أرض,الرياض,حريملاء,شمالية غربية,689,6500,4647500
105,أرض, الرياض , حي الملقا ,شمالية غربية,689,6500,34650000
106,أرض, الرياض , حي الملقا ,شمالية غربية,4950,6500,34650000
107,أرض, الرياض , حي الملقا ,شمالية غربية,4950,7000,34650000
108,أرض,الرياض,حريملاء,شمالية,4950,7000,850000
109,أرض,الرياض,حريملاء,شمالية,750,7000,850000
110,أرض,الرياض,حريملاء,شمالية,750,1133,850000
111,أرض, الرياض , حي الخير ,شمالية,750,1133,1900000
112,أرض, الرياض , حي الخير ,شمالية,975,1133,1900000
113,أرض,الرياض,حريملاء,شمالية غربية,975,1133,499000
114,أرض,الرياض,حريملاء,شمالية غربية,387,1133,499000
115,أرض,الرياض,حريملاء,شمالية غربية,387,1289,499000
116,أرض, الرياض , حي الخير ,شمالية,387,1289,750000
117,أرض, الرياض , حي الخير ,شمالية,500,1289,750000
118,أرض, الرياض , حي الخير ,شمالية,500,1500,750000
119,أرض,الرياض,حريملاء,غربية,500,1500,650000
120,أرض,الرياض,حريملاء,غربية,450,1500,650000
121,أرض,الرياض,حريملاء,غربية,450,1444,650000
122,أرض,الرياض,حريملاء,شرقية,450,1444,536250
123,أرض,الرياض,حريملاء,شرقية,375,1444,536250
124,أرض,الرياض,حريملاء,شرقية,375,1430,536250
125,أرض,الرياض,حريملاء,شرقية,375,1430,521250
126,أرض, الرياض , حي الخير ,غربية,375,1390,750000
127,أرض, الرياض , حي الخير ,غربية,744,1390,750000
128,أرض,الرياض,حريملاء,شمالية,744,1390,500000
129,أرض,الرياض,حريملاء,شمالية,375,1390,500000
130,أرض,الرياض,حريملاء,شمالية,375,1333,500000
131,أرض,الرياض,حريملاء,شرقية,375,1333,550000
132,أرض,الرياض,حريملاء,شرقية,375,1466,550000
133,أرض,الرياض,حريملاء,شرقية,375,1466,1087500
134,أرض,الرياض,حريملاء,شرقية,750,1466,1087500
135,أرض,الرياض,حريملاء,شرقية,750,1450,1087500
136,أرض, الرياض , حي النرجس ,غربية,750,1450,2225000
137,أرض, الرياض , حي النرجس ,غربية,450,1450,2225000
138,أرض, الرياض , حي النرجس ,غربية,450,5000,2225000
139,أرض, الرياض , حي الملك فهد ,شمالية شرقية,450,5000,2310000
140,أرض, الرياض , حي الملك فهد ,شمالية شرقية,420,5000,2310000
141,أرض, الرياض , حي الملك فهد ,شمالية شرقية,420,5500,2310000
142,أرض,الرياض,حريملاء,جنوبية,420,5500,3619200
143,أرض,الرياض,حريملاء,جنوبية,624,5500,3619200
144,أرض,الرياض,حريملاء,جنوبية,624,5800,3619200
145,أرض, الرياض , حي مطار الملك خالد الدولي ,شمالية غربية,624,5800,1600000
146,أرض, الرياض , حي مطار الملك خالد الدولي ,شمالية غربية,411,5800,1600000
147,أرض, الرياض , حي مطار الملك خالد الدولي ,شمالية غربية,411,3893,1600000
148,أرض, الرياض , حي مطار الملك خالد الدولي ,غربية,411,3893,3242200
149,أرض, الرياض , حي مطار الملك خالد الدولي ,غربية,559,3893,3242200
150,أرض, الرياض , حي مطار الملك خالد الدولي ,غربية,559,5800,3242200
151,أرض, الدرعية, العيينة ,شرقية,559,5800,1092000
152,أرض, الدرعية, العيينة ,شرقية,390,5800,1092000
153,أرض, الدرعية, العيينة ,شرقية,390,2800,1092000
154,أرض, الرياض , حي النرجس ,شمالية,390,2800,1862000
155,أرض, الرياض , حي النرجس ,شمالية,392,2800,1862000
156,أرض, الرياض , حي النرجس ,شمالية,392,4750,1862000
157,أرض, الرياض , حي العارض ,شمالية,392,4750,1717500
158,أرض, الرياض , حي العارض ,شمالية,458,4750,1717500
159,أرض, الرياض , حي العارض ,شمالية,458,3750,1717500
160,أرض, الرياض , حي النرجس ,غربية,458,3750,3822000
161,أرض, الرياض , حي النرجس ,غربية,780,3750,3822000
162,أرض, الرياض , حي النرجس ,غربية,780,4900,3822000
163,أرض,الرياض,حريملاء,جنوبية,780,4900,897000
164,أرض,الرياض,حريملاء,جنوبية,780,1150,897000
165,أرض, الرياض , حي النرجس ,شمالية,780,1150,1692000
166,أرض, الرياض , حي النرجس ,شمالية,360,1150,1692000
167,أرض, الرياض , حي النرجس ,شمالية,360,4700,1692000
168,أرض, الرياض , حي النرجس ,شرقية,360,4700,3420000
169,أرض, الرياض , حي النرجس ,شرقية,900,4700,3420000
170,أرض, الرياض , حي النرجس ,شرقية,900,3800,3420000
171,أرض, حريملاء, حي الخير ,شرقية,900,3800,600000
172,أرض, حريملاء, حي الخير ,شرقية,437,3800,600000
173,أرض, حريملاء, حي الخير ,شرقية,437,1372,600000
174,أرض, الرياض , حي النرجس ,غربية,437,1372,5460000
175,أرض, الرياض , حي النرجس ,غربية,780,1372,5460000
176,أرض, الرياض , حي النرجس ,غربية,780,7000,5460000
177,أرض,الرياض,حريملاء,شرقية,780,7000,600000
178,أرض,الرياض,حريملاء,شرقية,438,7000,600000
179,أرض,الرياض,حريملاء,شرقية,438,1369,600000
180,أرض, الرياض , حي النرجس ,غربية,438,1369,1500000
181,أرض, الرياض , حي النرجس ,غربية,300,1369,1500000
182,أرض, الرياض , حي النرجس ,غربية,300,5000,1500000
183,أرض, الرياض , حي النرجس ,غربية,300,5000,13000200
184,أرض, الرياض , حي النرجس ,غربية,1076,5000,13000200
185,أرض, الرياض , حي النرجس ,غربية,1076,12082,13000200
186,أرض, الرياض , حي السليمانية ,جنوبية,1076,12082,38799000
187,أرض, الرياض , حي السليمانية ,جنوبية,4000,12082,38799000
188,أرض, الرياض , حي السليمانية ,جنوبية,4000,9700,38799000
189,أرض, الرياض , حي القيروان ,جنوبية,4000,9700,2700000
190,أرض, الرياض , حي القيروان ,شمالية,4000,9700,2700000
191,أرض, الرياض , حي القيروان ,شمالية,475,9700,2700000
192,أرض, الرياض , حي القيروان ,شمالية,475,5687,2700000
193,أرض, الرياض , حي الندى ,شمالية,475,5687,11760000
194,أرض, الرياض , حي الندى ,غربية,475,5687,11760000
195,أرض, الرياض , حي الندى ,غربية,1680,5687,11760000
196,أرض, الرياض , حي الندى ,غربية,1680,7000,11760000
197,أرض, الرياض , حي الملقا ,شمالية شرقية,1680,7000,7802000
198,أرض, الرياض , حي الملقا ,شمالية شرقية,940,7000,7802000
199,أرض, الرياض , حي الملقا ,شمالية شرقية,940,8300,7802000
200,أرض,الرياض,حريملاء,شرقية,940,8300,1670000
201,أرض,الرياض,حريملاء,شرقية,910,8300,1670000
202,أرض,الرياض,حريملاء,شرقية,910,1835,1670000
203,أرض, حريملاء, ملهم ,شرقية,910,1835,858000
204,أرض, حريملاء, ملهم ,جنوبية شرقية,910,1835,858000
205,أرض, حريملاء, ملهم ,جنوبية شرقية,660,1835,858000
206,أرض, حريملاء, ملهم ,جنوبية شرقية,660,1300,858000
207,أرض, الرياض , حي النرجس ,جنوبية شرقية,660,1300,23520000
208,أرض, الرياض , حي النرجس ,شرقية,660,1300,23520000
209,أرض, الرياض , حي النرجس ,شرقية,3360,1300,23520000
210,أرض, الرياض , حي النرجس ,شرقية,3360,7000,23520000
211,أرض, الرياض , حي العقيق ,غربية,3360,7000,4375000
212,أرض, الرياض , حي العقيق ,غربية,625,7000,4375000
213,أرض, الرياض , حي العارض ,غربية,625,7000,4620000
214,أرض, الرياض , حي العارض ,شمالية,625,7000,4620000
215,أرض, الرياض , حي العارض ,شمالية,840,7000,4620000
216,أرض, الرياض , حي العارض ,شمالية,840,5500,4620000
217,أرض, الرياض , حي النرجس ,أربع شوارع,840,5500,24000600
218,أرض, الرياض , حي النرجس ,أربع شوارع,3900,5500,24000600
219,أرض, الرياض , حي النرجس ,أربع شوارع,3900,6154,24000600
220,أرض, الرياض , حي الملقا ,غربية,3900,6154,6840100
221,أرض, الرياض , حي الملقا ,غربية,937,6154,6840100
222,أرض, الرياض , حي الملقا ,غربية,937,7300,6840100
223,أرض, الرياض , حي العارض ,غربية,937,7300,1818900
224,أرض, الرياض , حي العارض ,جنوبية,937,7300,1818900
225,أرض, الرياض , حي العارض ,جنوبية,423,7300,1818900
226,أرض, الرياض , حي العارض ,جنوبية,423,4300,1818900
227,أرض, الرياض , حي العارض ,جنوبية,423,4300,6000000
228,أرض, الرياض , حي العارض ,ثلاث شوارع,423,4300,6000000
229,أرض, الرياض , حي العارض ,ثلاث شوارع,1250,4300,6000000
230,أرض, الرياض , حي العارض ,ثلاث شوارع,1250,4800,6000000
231,أرض, الرياض , حي الملك فهد ,ثلاث شوارع,1250,4800,4200000
232,أرض, الرياض , حي الملك فهد ,ثلاث شوارع,900,4800,4200000
233,أرض, الرياض , حي الملك فهد ,ثلاث شوارع,900,4666,4200000
234,أرض, الرياض , حي النرجس ,شرقية,900,4666,2437500
235,أرض, الرياض , حي النرجس ,شرقية,375,4666,2437500
236,أرض, الرياض , حي النرجس ,شرقية,375,6500,2437500
237,أرض, الرياض , حي العارض ,شرقية,375,6500,3087000
238,أرض, الرياض , حي العارض ,غربية,375,6500,3087000
239,أرض, الرياض , حي العارض ,غربية,735,6500,3087000
240,أرض, الرياض , حي العارض ,غربية,735,4200,3087000
241,أرض, الرياض , حي النرجس ,ثلاث شوارع,735,4200,30000000
242,أرض, الرياض , حي النرجس ,ثلاث شوارع,4510,4200,30000000
243,أرض, الرياض , حي النرجس ,ثلاث شوارع,4510,6651,30000000
245,أرض, الرياض , حي المروج ,غربية,50000,5500,275000000
246,أرض, الرياض , حي المروج ,جنوبية,375,1600,600000
247,أرض, الرياض , حي المروج ,جنوبية غربية,455,1758,800000
248,أرض, الرياض , حي النرجس ,ثلاث شوارع,900,5200,4680000
249,أرض, الرياض , حي القيروان ,شمالية,900,6200,5580000
250,أرض, الرياض , حي النرجس ,شمالية,360,5200,1872000
251,أرض, الرياض , حي الصحافة ,جنوبية,780,19300,15054000
252,أرض, الرياض , حي النرجس ,جنوبية,1050,5800,6090000
253,أرض, الرياض , حي النرجس ,شمالية,360,1388,500000
254,أرض, الرياض , حي النرجس ,جنوبية,1200,5000,6000000
255,أرض, الرياض , حي القيروان ,شمالية,600,6000,3600000
256,أرض, الرياض , حي القيروان ,شمالية شرقية,752,1595,1200000
257,أرض, الرياض , حي القيروان ,شرقية,375,1390,521250
258,أرض, الرياض , حي السليمانية ,أربع شوارع,10000,7000,70000000
259,أرض, الرياض , حي الرحمانية ,شمالية غربية,580,6000,3480000
260,أرض, الرياض , حي المصيف ,جنوبية,720,5550,3996000
261,أرض,الرياض,حريملاء,جنوبية,3900,6500,25350000
262,أرض,الرياض,حريملاء,جنوبية,3541,2300,8144300
